"","date","P_Tmp_1","P_Cond_1","P_pH_1","P_Tmp_2","P_Cond_2","P_pH_2","P_Tmp_3","P_Cond_3","P_pH_3"
"4","07/23/2025 07:07:00","57.8","57.9","27.7","27.8","7.96","7.85","7.83","57.5","27.7"
"5","07/23/2025 07:08:00","57.7","57.8","27.7","27.8","7.96","7.85","7.83","57.6","27.7"
"6","07/23/2025 07:09:00","57.9","57.8","27.0","27.0","7.96","7.85","7.83","57.5","27.7"
"7","07/23/2025 07:10:00","57.6","57.8","27.0","27.0","7.96","7.85","7.83","57.5","27.7"
"8","07/23/2025 07:11:00","57.7","58.0","27.0","27.0","7.96","7.85","7.83","57.4","27.7"
"9","07/23/2025 07:12:00","57.8","58.0","27.1","27.0","7.96","7.85","7.83","57.4","27.7"
"10","07/23/2025 07:13:00","57.8","57.9","27.1","27.0","7.96","7.85","7.83","57.6","27.7"
"11","07/23/2025 07:14:00","57.7","58.0","27.1","27.1","7.96","7.85","7.83","57.6","27.7"
"12","07/23/2025 07:15:00","57.7","57.8","27.1","27.1","7.96","7.85","7.83","57.5","27.7"
"13","07/23/2025 07:16:00","57.7","58.0","27.1","27.1","7.96","7.85","7.83","57.6","27.8"
"14","07/23/2025 07:17:00","57.6","58.0","27.1","27.1","7.96","7.85","7.83","57.4","27.8"
"15","07/23/2025 07:18:00","58.1","57.9","27.2","27.1","7.96","7.85","7.83","57.5","27.8"
"16","07/23/2025 07:19:00","57.9","57.7","27.2","27.1","7.96","7.85","7.83","57.4","27.8"
"17","07/23/2025 07:20:00","57.8","57.8","27.2","27.2","7.96","7.85","7.83","57.5","27.8"
"18","07/23/2025 07:21:00","57.8","57.9","27.2","27.2","7.96","7.85","7.83","57.5","27.8"
"19","07/23/2025 07:22:00","58.0","58.0","27.2","27.2","7.96","7.85","7.83","57.5","27.9"
"20","07/23/2025 07:23:00","57.6","58.0","27.2","27.2","7.96","7.85","7.83","57.4","27.9"
"21","07/23/2025 07:24:00","57.7","57.9","27.3","27.2","7.96","7.85","7.83","57.4","27.9"
"22","07/23/2025 07:25:00","58.0","57.9","27.3","27.2","7.96","7.85","7.83","57.5","28.0"
"23","07/23/2025 07:26:00","57.7","57.9","27.3","27.3","7.96","7.85","7.83","57.3","28.0"
"24","07/23/2025 07:27:00","57.7","57.9","27.3","27.3","7.96","7.85","7.83","57.6","28.0"
"25","07/23/2025 07:28:00","57.8","57.9","27.3","27.3","7.96","7.85","7.83","57.4","28.0"
"26","07/23/2025 07:29:00","57.8","57.9","27.3","27.3","7.96","7.85","7.83","57.6","28.0"
"27","07/23/2025 07:30:00","57.8","57.9","27.4","27.3","7.96","7.85","7.83","57.4","28.0"
"28","07/23/2025 07:31:00","57.8","57.9","27.4","27.4","7.96","7.85","7.83","57.5","28.1"
"29","07/23/2025 07:32:00","57.8","57.9","27.5","27.4","7.96","7.85","7.83","57.6","28.1"
"30","07/23/2025 07:33:00","57.8","58.0","27.5","27.4","7.96","7.85","7.83","57.3","28.1"
"31","07/23/2025 07:34:00","57.8","58.0","27.5","27.5","7.96","7.85","7.83","57.5","28.1"
"32","07/23/2025 07:35:00","57.7","57.8","27.5","27.5","7.96","7.85","7.83","57.4","28.1"
"33","07/23/2025 07:36:00","57.8","57.9","27.5","27.5","7.96","7.85","7.83","57.5","28.2"
"34","07/23/2025 07:37:00","57.8","58.0","27.5","27.6","7.96","7.85","7.83","57.3","28.2"
"35","07/23/2025 07:38:00","57.7","57.9","27.5","27.6","7.96","7.85","7.83","57.6","28.2"
"36","07/23/2025 07:39:00","58.0","57.8","27.5","27.6","7.96","7.85","7.83","57.4","28.2"
"37","07/23/2025 07:40:00","57.9","58.1","27.5","27.6","7.96","7.85","7.83","57.4","28.2"
"38","07/23/2025 07:41:00","57.7","58.0","27.5","27.6","7.96","7.85","7.83","57.6","28.2"
"39","07/23/2025 07:42:00","57.8","58.2","27.5","27.5","7.96","7.85","7.83","57.5","28.2"
"40","07/23/2025 07:43:00","57.8","57.9","27.5","27.5","7.96","7.85","7.83","57.7","28.1"
"41","07/23/2025 07:44:00","57.9","58.0","27.5","27.5","7.96","7.85","7.83","57.5","28.1"
"42","07/23/2025 07:45:00","57.8","58.1","27.5","27.5","7.96","7.85","7.83","57.5","28.1"
"43","07/23/2025 07:46:00","58.2","58.3","27.5","27.5","7.96","7.85","7.83","57.6","28.1"
"44","07/23/2025 07:47:00","58.1","58.3","27.5","27.5","7.96","7.85","7.83","57.6","28.1"
"45","07/23/2025 07:48:00","58.1","58.2","27.5","27.5","7.96","7.85","7.83","57.8","28.1"
